City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Pangkalanbuun,ID,73.96,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
466,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
467,Gamba,GA,77.97,scattered clouds,-2.65,10.0,
469,Castanos,MX,78.35,scattered clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
473,Sokoni,TZ,80.47,light rain,-6.4333,39.55,Ujamaa Beach Resort
474,Bungu,TZ,72.99,overcast clouds,-7.6337,39.0582,JaJa Lodge
475,Okato,NZ,71.42,light rain,-39.2,173.8833,Goodin Country Garden
476,Chimbarongo,CL,86.38,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
480,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
482,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
484,Malkangiri,IN,70.65,scattered clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
485,Sao Jose Da Coroa Grande,BR,80.15,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
486,Guanica,PR,85.12,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
489,Buchanan,LR,80.56,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
490,Daru,PG,78.8,overcast clouds,-9.0763,143.2092,Daru Lodge
497,Samarai,PG,82.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
498,Venice,US,82.44,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
499,Felipe Carrillo Puerto,MX,80.51,broken clouds,19.5833,-88.05,Hotel La Ceiba
505,Douentza,ML,77.32,clear sky,14.9951,-2.9517,Ogomono Doumbo
509,Salaga,GH,84.61,clear sky,8.5508,-0.5188,Bore Nada Guest House
513,Kismayo,SO,80.11,moderate rain,-0.3582,42.5454,Agan-Hotel
514,Nakasongola,UG,74.5,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
515,Boueni,YT,80.58,clear sky,-12.9025,45.0761,The feet in water
519,Macapa,BR,82.38,moderate rain,0.0389,-51.0664,Atalanta Hotel
532,Buluang,PH,74.32,overcast clouds,13.3068,123.3425,Enon Beach Resort
536,Pundaguitan,PH,81.25,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
539,Birao,CF,74.82,scattered clouds,10.2849,22.7882,
540,Nautla,MX,79.77,scattered clouds,20.2167,-96.7833,Casa Blanca
542,Huarmey,PE,71.44,broken clouds,-10.0681,-78.1522,Hotel Miramar
543,Koundara,GN,82.81,overcast clouds,12.4833,-13.3,
546,Big Spring,US,77.27,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
548,Farafangana,MG,75.99,clear sky,-22.8167,47.8333,Miarina
552,Karratha,AU,87.13,few clouds,-20.7377,116.8463,ibis Styles Karratha
553,Mercedes,AR,85.86,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
557,Vaitape,PF,81.3,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
560,Kidal,ML,70.84,clear sky,18.4411,1.4078,
562,Popondetta,PG,77.72,overcast clouds,-8.7537,148.2534,Timos Transit House
564,Azare,NG,70.16,broken clouds,11.6765,10.1948,Mallam Ayuba Compound
567,Tsaratanana,MG,74.35,clear sky,-16.7833,47.65,
568,Chipata,ZM,71.24,scattered clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
572,Dana Point,US,71.67,clear sky,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
574,Caravelas,BR,73.0,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
575,Amahai,ID,78.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
580,Bubaque,GW,82.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
586,Saint-Pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
588,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
591,Celestun,MX,83.44,few clouds,20.8667,-90.4,Posada Lilia
594,Kandrian,PG,79.12,overcast clouds,-6.2167,149.55,Kandrian Station
596,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
601,Teknaf,BD,73.35,clear sky,20.8624,92.3058,Forestry Guesthouse
602,Nisia Floresta,BR,85.01,clear sky,-6.0911,-35.2086,Rancho Crepusculo
606,Mangaluru,IN,77.86,clear sky,12.8667,74.8833,Goldfinch Hotel Mangaluru
