City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Fare,PF,2021-12-08 20:31:02,-16.7,-151.0167,81.3,75,75,14.83,broken clouds
146,Bambous Virieux,MU,2021-12-08 20:31:02,-20.3428,57.7575,77.22,78,20,3.44,few clouds
147,Yumen,CN,2021-12-08 20:31:03,40.2833,97.2,28.2,59,95,15.26,overcast clouds
148,Tombouctou,ML,2021-12-08 20:31:03,20.0,-3.0,67.55,13,30,11.14,scattered clouds
149,Belaya Gora,RU,2021-12-08 20:31:03,68.5333,146.4167,-49.4,100,97,2.17,overcast clouds
150,Yatou,CN,2021-12-08 20:31:04,37.15,122.3833,45.23,74,100,2.98,overcast clouds
151,Ust-Kuyga,RU,2021-12-08 20:26:20,70.0167,135.6,-30.87,96,99,7.38,overcast clouds
152,Vardo,NO,2021-12-08 20:31:04,70.3705,31.1107,11.95,74,5,16.33,clear sky
153,Sackville,CA,2021-12-08 20:31:04,45.9188,-64.3846,27.48,45,100,4.41,overcast clouds
154,Beringovskiy,RU,2021-12-08 20:31:05,63.05,179.3167,0.25,97,100,13.94,light snow
155,Tiksi,RU,2021-12-08 20:31:05,71.6872,128.8694,-19.57,96,100,6.69,overcast clouds
156,Coihaique,CL,2021-12-08 20:31:05,-45.5752,-72.0662,75.15,35,20,10.36,few clouds
157,Mehamn,NO,2021-12-08 20:31:05,71.0357,27.8492,21.38,82,12,11.39,few clouds
158,Kefamenanu,ID,2021-12-08 20:31:06,-9.4467,124.4781,72.09,89,95,2.1,overcast clouds
159,Guadalupe Y Calvo,MX,2021-12-08 20:31:06,26.1,-106.9667,61.95,16,82,9.6,broken clouds
160,Namibe,AO,2021-12-08 20:27:34,-15.1961,12.1522,69.46,72,0,5.12,clear sky
161,Kieta,PG,2021-12-08 20:31:07,-6.2167,155.6333,80.98,84,100,2.91,overcast clouds
162,Hays,US,2021-12-08 20:31:07,30.0502,-98.0336,79.63,38,50,1.01,scattered clouds
163,Half Moon Bay,US,2021-12-08 20:30:11,37.4636,-122.4286,60.57,87,75,0.0,mist
164,Pitimbu,BR,2021-12-08 20:31:07,-7.4706,-34.8086,82.99,74,7,11.27,clear sky
165,Akureyri,IS,2021-12-08 20:31:08,65.6835,-18.0878,17.53,86,0,8.05,clear sky
166,Kendari,ID,2021-12-08 20:31:08,-3.945,122.4989,75.76,89,100,2.93,overcast clouds
167,Saskylakh,RU,2021-12-08 20:31:08,71.9167,114.0833,-6.97,90,100,9.24,overcast clouds
168,Xining,CN,2021-12-08 20:31:08,36.6167,101.7667,28.31,39,1,1.19,clear sky
169,Hailar,CN,2021-12-08 20:31:09,49.2,119.7,18.64,91,100,8.57,overcast clouds
170,Envira,BR,2021-12-08 20:31:09,-7.3,-70.2167,82.36,80,82,1.7,broken clouds
171,Alacranes,CU,2021-12-08 20:31:09,22.7675,-81.5675,84.69,47,22,1.34,few clouds
172,Plainview,US,2021-12-08 20:30:58,40.7765,-73.4673,42.89,78,90,1.99,overcast clouds
173,Omboue,GA,2021-12-08 20:31:10,-1.5746,9.2618,77.38,90,51,5.75,light rain
174,Margate,GB,2021-12-08 20:31:10,51.3813,1.3862,44.46,74,81,1.99,broken clouds
175,Ponta Do Sol,PT,2021-12-08 20:31:11,32.6667,-17.1,64.13,72,38,8.86,scattered clouds
176,Hermanus,ZA,2021-12-08 20:31:11,-34.4187,19.2345,70.9,85,95,13.73,overcast clouds
177,Lebu,CL,2021-12-08 20:31:02,-37.6167,-73.65,61.7,75,10,18.66,clear sky
178,Grindavik,IS,2021-12-08 20:31:11,63.8424,-22.4338,36.07,87,75,24.16,broken clouds
